filename,instrument,num octaves,scale (mode)
000.mp3,1,1,1
001.mp3,1,1,2
002.mp3,1,1,3
003.mp3,1,1,4
010.mp3,1,2,1
011.mp3,1,2,2
012.mp3,1,2,3
013.mp3,1,2,4
020.mp3,1,3,1
021.mp3,1,3,2
022.mp3,1,3,3
023.mp3,1,3,4
030.mp3,1,4,1
031.mp3,1,4,2
032.mp3,1,4,3
033.mp3,1,4,4
100.mp3,2,1,1
101.mp3,2,1,2
102.mp3,2,1,3
103.mp3,2,1,4
110.mp3,2,2,1
111.mp3,2,2,2
112.mp3,2,2,3
113.mp3,2,2,4
120.mp3,2,3,1
121.mp3,2,3,2
122.mp3,2,3,3
123.mp3,2,3,4
130.mp3,2,4,1
131.mp3,2,4,2
132.mp3,2,4,3
133.mp3,2,4,4
200.mp3,3,1,1
201.mp3,3,1,2
202.mp3,3,1,3
203.mp3,3,1,4
210.mp3,3,2,1
211.mp3,3,2,2
212.mp3,3,2,3
213.mp3,3,2,4
220.mp3,3,3,1
221.mp3,3,3,2
222.mp3,3,3,3
223.mp3,3,3,4
230.mp3,3,4,1
231.mp3,3,4,2
232.mp3,3,4,3
233.mp3,3,4,4
300.mp3,4,1,1
301.mp3,4,1,2
302.mp3,4,1,3
303.mp3,4,1,4
310.mp3,4,2,1
311.mp3,4,2,2
312.mp3,4,2,3
313.mp3,4,2,4
320.mp3,4,3,1
321.mp3,4,3,2
322.mp3,4,3,3
323.mp3,4,3,4
330.mp3,4,4,1
331.mp3,4,4,2
332.mp3,4,4,3
333.mp3,4,4,4